Date,County,Circuit,Counts,OffenseSeriousness,OffenseCode,OffenseType,Sentence,Statute,JudgeID,Trial,Incarceration,Age,Black,EventID,CriminalHistory,ExpMinSentence,Week
2000-07-14,York,16,2,4,137,Robbery,60.0,16-11-0325,Judge 1,0,1,28,1,177,minimal,15.0,28-2000
2000-07-14,York,16,1,2,478,Theft,6.0,16-13-0030(B)(1),Judge 1,0,1,23,1,178,moderate,1.5,28-2000
2000-07-14,York,16,1,4,2468,Other,0.0,16-15-0140,Judge 1,0,0,31,0,179,minimal,0.0,28-2000
2000-08-08,York,16,1,2,49,Other,0.0,16-17-0410,Judge 1,0,0,18,0,180,none,0.0,32-2000
2000-08-08,York,16,4,2,478,Theft,30.0,16-13-0030(B)(1),Judge 1,0,1,39,0,181,extensive,7.5,32-2000
2000-08-09,York,16,1,2,100,Drug Possesion,0.0,44-53-0375(A),Judge 1,0,0,28,1,182,none,0.0,32-2000
2000-08-09,York,16,1,3,107,Drug Distribution,0.0,44-53-0445(B)(1),Judge 1,0,0,18,1,183,none,0.0,32-2000
2000-08-10,York,16,1,3,13,Assault,0.0,"C/L, 17-25-0030",Judge 1,0,0,29,1,184,none,0.0,32-2000
2000-08-10,York,16,2,1,164,Other,36.0,"56-05-2930, 2940(3)",Judge 1,0,1,40,0,185,moderate,9.0,32-2000
2000-08-10,York,16,1,2,186,Drug Distribution,0.0,44-53-0370(b)(2),Judge 1,0,0,26,0,186,none,0.0,32-2000
2000-08-10,York,16,2,5,188,Drug Distribution,72.0,44-53-0370(b)(2),Judge 1,0,1,45,0,187,moderate,72.0,32-2000
2000-08-11,York,16,2,3,9,Assault,60.0,Common Law,Judge 1,0,1,24,1,188,moderate,15.0,32-2000
2000-08-11,York,16,1,1,65,Other,12.0,56-05-0750(B)(1),Judge 1,0,1,23,1,189,minimal,3.0,32-2000
2000-08-11,York,16,1,2,100,Drug Possesion,0.0,44-53-0375(A),Judge 1,0,0,26,0,190,none,0.0,32-2000
2000-08-11,York,16,2,2,112,Drug Distribution,72.0,44-53-0375(B)(1),Judge 1,0,1,39,1,191,none,18.0,32-2000
2000-08-11,York,16,3,7,113,Drug Distribution,72.0,44-53-0375(B)(2),Judge 1,0,1,24,1,192,moderate,61.199999999999996,32-2000
2000-08-11,York,16,4,7,114,Drug Distribution,180.0,44-53-0375(B)(3),Judge 1,0,1,33,1,193,extensive,153.0,32-2000
2000-08-11,Kershaw,5,2,2,124,Other,6.0,16-11-0020,Judge 1,0,1,26,0,194,moderate,1.5,32-2000
2000-08-11,York,16,1,3,1113,Other,6.0,12-21-2790,Judge 1,0,1,29,0,195,voluminous,1.5,32-2000
2000-08-22,York,16,4,4,2468,Other,144.0,16-15-0140,Judge 1,0,1,22,0,196,moderate,36.0,34-2000
2000-08-25,York,16,1,1,48,Other,0.0,16-17-0490,Judge 1,0,0,33,1,197,none,0.0,34-2000
2000-08-25,Union,16,31,4,86,Burglary,98.0,16-11-0312(B),Judge 1,0,1,31,0,198,moderate,32.34,34-2000
2000-08-25,York,16,1,5,396,Rape,60.0,16-03-0655(2),Judge 1,0,1,41,1,199,none,51.0,34-2000
2000-09-02,Union,16,1,4,80,Burglary,96.0,16-11-0312(A),Judge 1,0,1,47,1,200,voluminous,24.0,35-2000
2000-09-11,York,16,1,3,13,Assault,0.0,"C/L, 17-25-0030",Judge 1,0,0,18,0,201,minimal,0.0,37-2000
2000-09-11,York,16,1,3,13,Assault,0.0,"C/L, 17-25-0030",Judge 1,0,0,17,0,202,none,0.0,37-2000
2000-09-11,York,16,1,1,65,Other,0.0,56-05-0750(B)(1),Judge 1,0,0,38,0,203,minimal,0.0,37-2000
2000-09-11,York,16,1,2,100,Drug Possesion,0.0,44-53-0375(A),Judge 1,0,0,44,1,204,extensive,0.0,37-2000
2000-09-11,York,16,2,7,113,Drug Distribution,72.0,44-53-0375(B)(2),Judge 1,0,1,23,0,205,moderate,61.199999999999996,37-2000
2000-09-11,York,16,1,2,561,Drug Distribution,0.0,44-53-0390,Judge 1,0,0,39,0,206,none,0.0,37-2000
2000-09-12,York,16,7,2,112,Drug Distribution,144.0,44-53-0375(B)(1),Judge 1,0,1,29,1,207,minimal,36.0,37-2000
2000-09-12,York,16,1,5,188,Drug Distribution,60.0,44-53-0370(b)(2),Judge 1,0,1,72,0,208,moderate,60.0,37-2000
2000-09-14,York,16,1,1,65,Other,0.0,56-05-0750(B)(1),Judge 1,0,0,25,0,209,none,0.0,37-2000
2000-09-14,York,16,1,2,478,Theft,0.0,16-13-0030(B)(1),Judge 1,0,0,51,0,210,minimal,0.0,37-2000
2000-09-15,Spartanburg,7,4,7,139,Robbery,180.0,16-11-0330(A),Judge 1,0,1,28,0,211,none,153.0,37-2000
2000-09-15,York,16,1,2,297,Drug Possesion,0.0,44-53-0040(B),Judge 1,0,0,34,0,212,minimal,0.0,37-2000
2000-09-15,York,16,2,5,396,Rape,72.0,16-03-0655(2),Judge 1,0,1,23,0,213,none,61.199999999999996,37-2000
2000-09-15,York,16,5,5,396,Rape,72.0,16-03-0655(2),Judge 1,0,1,19,1,214,moderate,61.199999999999996,37-2000
2000-09-15,York,16,1,3,430,Theft,0.0,16-21-0080(3),Judge 1,0,0,17,1,215,minimal,0.0,37-2000
2000-09-15,York,16,1,2,478,Theft,0.0,16-13-0030(B)(1),Judge 1,0,0,18,0,216,none,0.0,37-2000
2000-09-20,Union,16,1,3,13,Assault,120.0,"C/L, 17-25-0030",Judge 1,0,1,40,1,217,none,30.0,38-2000
2000-09-21,Union,16,1,2,427,Burglary,0.0,16-11-0313,Judge 1,0,0,17,0,218,none,0.0,38-2000
2000-09-28,York,16,1,3,13,Assault,36.0,"C/L, 17-25-0030",Judge 1,0,1,25,0,219,extensive,9.0,39-2000
2000-09-29,York,16,2,3,13,Assault,96.0,"C/L, 17-25-0030",Judge 1,0,1,22,0,220,minimal,24.0,39-2000
2000-09-29,York,16,1,1,65,Other,0.0,56-05-0750(B)(1),Judge 1,0,0,29,1,221,minimal,0.0,39-2000
2000-09-29,York,16,2,2,112,Drug Distribution,48.0,44-53-0375(B)(1),Judge 1,0,1,22,1,222,moderate,12.0,39-2000
2000-09-29,York,16,7,7,113,Drug Distribution,60.0,44-53-0375(B)(2),Judge 1,0,1,21,1,223,moderate,51.0,39-2000
2000-09-29,York,16,2,4,137,Robbery,36.0,16-11-0325,Judge 1,0,1,21,0,224,minimal,9.0,39-2000
2000-09-29,York,16,1,2,186,Drug Distribution,0.0,44-53-0370(b)(2),Judge 1,0,0,29,1,225,none,0.0,39-2000
2000-09-29,York,16,3,3,430,Theft,24.0,16-21-0080(3),Judge 1,0,1,20,1,226,moderate,6.0,39-2000
2000-09-29,York,16,4,4,2468,Other,0.0,16-15-0140,Judge 1,0,0,29,0,227,none,0.0,39-2000
2000-10-11,York,16,1,3,13,Assault,0.0,"C/L, 17-25-0030",Judge 1,0,0,39,0,228,none,0.0,41-2000
2000-10-11,Fairfield,6,8,1,164,Other,32.0,"56-05-2930, 2940(3)",Judge 1,0,1,35,1,229,extensive,8.0,41-2000
2000-10-12,York,16,2,3,87,Other,6.0,"16-17-0430(A)(1)(2)(4), (B)(1)",Judge 1,0,1,43,0,230,moderate,1.5,41-2000
2000-10-12,York,16,1,2,100,Drug Possesion,0.0,44-53-0375(A),Judge 1,0,0,31,0,231,none,0.0,41-2000
2000-10-12,York,16,3,1,164,Other,6.0,"56-05-2930, 2940(3)",Judge 1,0,1,37,1,232,extensive,1.5,41-2000
2000-10-12,York,16,1,2,186,Drug Distribution,0.0,44-53-0370(b)(2),Judge 1,0,0,27,0,233,minimal,0.0,41-2000
2000-10-12,York,16,1,3,479,Theft,0.0,16-13-0030(B)(2),Judge 1,0,0,17,0,234,none,0.0,41-2000
2000-10-13,York,16,2,3,107,Drug Distribution,12.0,44-53-0445(B)(1),Judge 1,0,1,19,1,235,none,3.0,41-2000
2000-10-13,York,16,2,4,137,Robbery,180.0,16-11-0325,Judge 1,0,1,28,1,236,moderate,45.0,41-2000
2000-10-13,York,16,6,7,139,Robbery,180.0,16-11-0330(A),Judge 1,0,1,19,1,237,minimal,153.0,41-2000
2000-10-13,York,16,2,2,478,Theft,12.0,16-13-0030(B)(1),Judge 1,0,1,16,0,238,none,3.0,41-2000
2000-10-16,Union,16,1,3,9,Assault,0.0,Common Law,Judge 1,0,0,20,1,239,none,0.0,42-2000
2000-10-16,Union,16,1,3,13,Assault,0.0,"C/L, 17-25-0030",Judge 1,0,0,26,1,240,minimal,0.0,42-2000
2000-10-16,Union,16,1,4,80,Burglary,0.0,16-11-0312(A),Judge 1,0,0,22,1,241,none,0.0,42-2000
2000-10-16,Union,16,1,3,87,Other,0.0,"16-17-0430(A)(1)(2)(4), (B)(1)",Judge 1,0,0,20,0,242,none,0.0,42-2000
2000-10-16,Union,16,1,1,164,Other,0.0,"56-05-2930, 2940(3)",Judge 1,0,0,38,1,243,minimal,0.0,42-2000
2000-10-16,Union,16,1,2,427,Burglary,0.0,16-11-0313,Judge 1,0,0,16,0,244,none,0.0,42-2000
2000-10-16,Union,16,2,2,427,Burglary,24.0,16-11-0313,Judge 1,0,1,30,1,245,voluminous,6.0,42-2000
2000-10-16,Union,16,1,1,685,Other,0.0,"16-25-0020, 0040",Judge 1,0,0,39,1,246,voluminous,0.0,42-2000
2000-10-16,Union,16,1,2,2427,Fraud,0.0,16-13-0010(B)(2),Judge 1,0,0,34,1,247,minimal,0.0,42-2000
2000-10-17,Union,16,3,4,86,Burglary,360.0,16-11-0312(B),Judge 1,0,1,28,1,248,extensive,118.80000000000001,42-2000
2000-10-18,Union,16,6,2,2427,Fraud,32.0,16-13-0010(B)(2),Judge 1,0,1,33,0,249,voluminous,8.0,42-2000
2000-10-19,Union,16,1,8,79,Burglary,144.0,16-11-0311,Judge 1,1,1,23,1,250,moderate,122.39999999999999,42-2000
2000-10-19,Union,16,1,2,186,Drug Distribution,0.0,44-53-0370(b)(2),Judge 1,0,0,22,0,251,none,0.0,42-2000
2000-10-19,Union,16,1,1,781,Other,0.0,"C/L, 17-25-0030",Judge 1,0,0,19,1,252,minimal,0.0,42-2000
2000-10-20,Union,16,1,1,65,Other,0.0,56-05-0750(B)(1),Judge 1,0,0,46,0,253,none,0.0,42-2000
2000-10-20,Union,16,1,2,112,Drug Distribution,36.0,44-53-0375(B)(1),Judge 1,0,1,21,1,254,none,9.0,42-2000
2000-10-20,Union,16,4,7,114,Drug Distribution,60.0,44-53-0375(B)(3),Judge 1,0,1,26,0,255,moderate,51.0,42-2000
2000-10-20,Union,16,4,2,165,Other,120.0,"56-05-2930, 2940(4)",Judge 1,0,1,46,0,256,moderate,30.0,42-2000
2000-10-23,York,16,1,2,31,Other,0.0,16-15-0010,Judge 1,0,0,36,0,257,none,0.0,43-2000
2000-10-23,York,16,1,1,296,Drug Possesion,0.0,44-53-0040(B),Judge 1,0,0,29,0,258,none,0.0,43-2000
2000-10-24,York,16,1,2,57,Other,8.0,56-01-1100,Judge 1,0,1,28,1,259,none,2.0,43-2000
2000-10-24,York,16,3,2,101,Drug Possesion,48.0,44-53-0375(A),Judge 1,0,1,33,1,260,voluminous,12.0,43-2000
2000-10-24,York,16,2,7,451,Drug Distribution,144.0,44-53-0375(C)(1)(b),Judge 1,0,1,28,1,261,moderate,122.39999999999999,43-2000
2000-10-25,York,16,1,2,49,Other,0.0,16-17-0410,Judge 1,0,0,46,0,262,none,0.0,43-2000
2000-10-25,York,16,1,2,49,Other,0.0,16-17-0410,Judge 1,0,0,24,0,263,none,0.0,43-2000
2000-10-25,York,16,1,1,65,Other,0.0,56-05-0750(B)(1),Judge 1,0,0,17,1,264,none,0.0,43-2000
2000-10-25,York,16,1,4,108,Drug Distribution,0.0,44-53-0445(B)(2),Judge 1,0,0,34,1,265,none,0.0,43-2000
2000-10-25,York,16,3,7,113,Drug Distribution,48.0,44-53-0375(B)(2),Judge 1,0,1,54,1,266,moderate,40.8,43-2000
2000-10-25,York,16,1,4,137,Robbery,120.0,16-11-0325,Judge 1,0,1,28,1,267,extensive,30.0,43-2000
2000-10-25,York,16,2,2,478,Theft,36.0,16-13-0030(B)(1),Judge 1,0,1,24,0,268,moderate,9.0,43-2000
2000-10-25,York,16,1,2,1345,Theft,6.0,34-03-0110(B),Judge 1,0,1,51,0,269,extensive,1.5,43-2000
2000-10-25,York,16,3,2,2427,Fraud,0.0,16-13-0010(B)(2),Judge 1,0,0,31,1,270,minimal,0.0,43-2000
2000-10-26,York,16,4,3,107,Drug Distribution,48.0,44-53-0445(B)(1),Judge 1,0,1,21,0,271,minimal,12.0,43-2000
2000-10-27,York,16,1,3,13,Assault,0.0,"C/L, 17-25-0030",Judge 1,0,0,25,0,272,none,0.0,43-2000
2000-10-27,York,16,1,3,13,Assault,0.0,"C/L, 17-25-0030",Judge 1,0,0,30,1,273,none,0.0,43-2000
2000-10-27,York,16,2,1,48,Other,24.0,16-17-0490,Judge 1,0,1,20,0,274,moderate,6.0,43-2000
2000-10-27,Kershaw,5,5,1,164,Other,24.0,"56-05-2930, 2940(3)",Judge 1,0,1,35,0,275,extensive,6.0,43-2000
2000-10-27,York,16,1,2,427,Burglary,0.0,16-11-0313,Judge 1,0,0,18,1,276,none,0.0,43-2000
2000-10-27,York,16,1,2,427,Burglary,0.0,16-11-0313,Judge 1,0,0,17,1,277,none,0.0,43-2000
2000-10-27,York,16,1,2,2364,Other,0.0,"16-23-0030, 0050(A)(1)",Judge 1,0,0,25,1,278,minimal,0.0,43-2000
2000-11-06,York,16,1,3,13,Assault,0.0,"C/L, 17-25-0030",Judge 1,0,0,29,1,279,minimal,0.0,45-2000
2000-11-06,York,16,1,2,100,Drug Possesion,0.0,44-53-0375(A),Judge 1,0,0,50,1,280,minimal,0.0,45-2000
2000-11-06,York,16,2,7,113,Drug Distribution,60.0,44-53-0375(B)(2),Judge 1,0,1,39,1,281,moderate,51.0,45-2000
2000-11-06,York,16,1,2,186,Drug Distribution,0.0,44-53-0370(b)(2),Judge 1,0,0,21,0,282,none,0.0,45-2000
2000-11-06,York,16,1,2,186,Drug Distribution,0.0,44-53-0370(b)(2),Judge 1,0,0,29,1,283,none,0.0,45-2000
2000-11-06,York,16,1,2,186,Drug Distribution,0.0,44-53-0370(b)(2),Judge 1,0,0,18,0,284,none,0.0,45-2000
2000-11-06,York,16,3,2,258,Burglary,0.0,"16-13-0160(1)(2), (B)",Judge 1,0,0,20,1,285,none,0.0,45-2000
2000-11-06,York,16,1,2,420,Fraud,0.0,16-13-0230(B)(2),Judge 1,0,0,19,1,286,none,0.0,45-2000
2000-11-07,York,16,5,3,9,Assault,48.0,Common Law,Judge 1,0,1,20,1,287,moderate,12.0,45-2000
2000-11-07,York,16,1,3,13,Assault,0.0,"C/L, 17-25-0030",Judge 1,0,0,33,0,288,none,0.0,45-2000
2000-11-07,York,16,1,3,13,Assault,0.0,"C/L, 17-25-0030",Judge 1,0,0,33,0,289,none,0.0,45-2000
2000-11-07,York,16,1,2,186,Drug Distribution,0.0,44-53-0370(b)(2),Judge 1,0,0,20,0,290,none,0.0,45-2000
2000-11-07,York,16,1,5,396,Rape,48.0,16-03-0655(2),Judge 1,0,1,22,1,291,minimal,40.8,45-2000
2000-11-07,York,16,1,4,2468,Other,0.0,16-15-0140,Judge 1,0,0,39,1,292,none,0.0,45-2000
2000-11-08,York,16,1,2,112,Drug Distribution,24.0,44-53-0375(B)(1),Judge 1,0,1,23,1,293,minimal,6.0,45-2000
2000-11-08,York,16,1,3,118,Other,0.0,"Common Law, 17-25-0030",Judge 1,0,0,20,0,294,minimal,0.0,45-2000
2000-11-08,York,16,1,2,258,Burglary,36.0,"16-13-0160(1)(2), (B)",Judge 1,0,1,33,0,295,voluminous,9.0,45-2000
2000-11-08,York,16,7,8,452,Drug Distribution,324.0,44-53-0375(C)(1)(c),Judge 1,0,1,29,1,296,moderate,324.0,45-2000
2000-11-08,York,16,1,2,531,Fraud,0.0,16-13-0240(2),Judge 1,0,0,26,1,297,minimal,0.0,45-2000
2000-11-09,York,16,1,2,186,Drug Distribution,0.0,44-53-0370(b)(2),Judge 1,0,0,44,0,298,none,0.0,45-2000
2000-11-09,York,16,4,6,395,Homicide,120.0,56-05-2945(A)(2),Judge 1,0,1,30,0,299,moderate,102.0,45-2000
2000-11-09,York,16,1,2,2366,Other,0.0,16-05-0130(1),Judge 1,0,0,20,1,300,none,0.0,45-2000
2000-12-04,Union,16,1,3,13,Assault,0.0,"C/L, 17-25-0030",Judge 1,0,0,27,1,301,none,0.0,49-2000
2000-12-04,Union,16,1,4,80,Burglary,0.0,16-11-0312(A),Judge 1,0,0,44,0,302,minimal,0.0,49-2000
2000-12-04,Union,16,9,4,86,Burglary,48.0,16-11-0312(B),Judge 1,0,1,20,0,303,extensive,15.84,49-2000
2000-12-04,Union,16,1,4,86,Burglary,0.0,16-11-0312(B),Judge 1,0,0,20,0,304,none,0.0,49-2000
2000-12-04,Union,16,1,2,186,Drug Distribution,0.0,44-53-0370(b)(2),Judge 1,0,0,26,1,305,minimal,0.0,49-2000
2000-12-04,Union,16,1,3,256,Other,0.0,16-09-0320(B),Judge 1,0,0,41,1,306,voluminous,0.0,49-2000
2000-12-04,Union,16,1,2,493,Other,0.0,16-11-0510(B)(2),Judge 1,0,0,23,1,307,none,0.0,49-2000
2000-12-04,Union,16,1,3,2390,Assault,0.0,"16-25-0065, 17-25-0030",Judge 1,0,0,29,0,308,none,0.0,49-2000
2000-12-04,Union,16,1,3,2481,Other,0.0,20-07-0050,Judge 1,0,0,25,1,309,none,0.0,49-2000
2000-12-05,Union,16,1,2,112,Drug Distribution,36.0,44-53-0375(B)(1),Judge 1,0,1,31,1,310,moderate,9.0,49-2000
2000-12-06,Union,16,1,3,13,Assault,0.0,"C/L, 17-25-0030",Judge 1,0,0,24,1,311,minimal,0.0,49-2000
2000-12-06,Union,16,1,2,186,Drug Distribution,0.0,44-53-0370(b)(2),Judge 1,0,0,19,0,312,none,0.0,49-2000
2000-12-06,Union,16,1,2,561,Drug Distribution,0.0,44-53-0390,Judge 1,0,0,18,1,313,none,0.0,49-2000
2000-12-06,Union,16,1,1,685,Other,0.0,"16-25-0020, 0040",Judge 1,0,0,34,0,314,minimal,0.0,49-2000
2000-12-07,Union,16,1,3,13,Assault,96.0,"C/L, 17-25-0030",Judge 1,0,1,26,0,315,none,24.0,49-2000
2000-12-07,Union,16,3,7,113,Drug Distribution,60.0,44-53-0375(B)(2),Judge 1,0,1,29,1,316,none,51.0,49-2000
2000-12-07,Union,16,1,2,561,Drug Distribution,0.0,44-53-0390,Judge 1,0,0,18,1,317,minimal,0.0,49-2000
2000-12-07,Union,16,4,2,2427,Fraud,0.0,16-13-0010(B)(2),Judge 1,0,0,31,0,318,moderate,0.0,49-2000
2000-12-08,Union,16,1,5,188,Drug Distribution,0.0,44-53-0370(b)(2),Judge 1,0,0,24,1,319,none,0.0,49-2000
2000-12-11,York,16,1,1,27,Drug Possesion,0.0,44-53-0420,Judge 1,0,0,21,1,320,none,0.0,50-2000
2000-12-11,York,16,2,4,108,Drug Distribution,54.0,44-53-0445(B)(2),Judge 1,0,1,32,1,321,moderate,13.5,50-2000
2000-12-11,York,16,2,2,112,Drug Distribution,48.0,44-53-0375(B)(1),Judge 1,0,1,28,1,322,none,12.0,50-2000
2000-12-11,York,16,6,4,137,Robbery,168.0,16-11-0325,Judge 1,0,1,28,1,323,voluminous,42.0,50-2000
2000-12-12,York,16,1,3,13,Assault,0.0,"C/L, 17-25-0030",Judge 1,0,0,39,1,324,extensive,0.0,50-2000
2000-12-12,York,16,1,2,100,Drug Possesion,0.0,44-53-0375(A),Judge 1,0,0,19,0,325,none,0.0,50-2000
2000-12-12,York,16,1,2,100,Drug Possesion,0.0,44-53-0375(A),Judge 1,0,0,42,1,326,minimal,0.0,50-2000
2000-12-12,York,16,2,4,108,Drug Distribution,50.0,44-53-0445(B)(2),Judge 1,0,1,24,1,327,minimal,12.5,50-2000
2000-12-12,York,16,1,1,176,Drug Possesion,0.0,44-53-0370(d)(1),Judge 1,0,0,24,0,328,minimal,0.0,50-2000
2000-12-12,York,16,2,6,392,Drug Distribution,120.0,44-53-0375(C)(2)(a),Judge 1,0,1,26,1,329,minimal,102.0,50-2000
2000-12-13,York,16,2,2,57,Other,6.0,56-01-1100,Judge 1,0,1,24,1,330,moderate,1.5,50-2000
2000-12-13,York,16,1,2,57,Other,0.0,56-01-1100,Judge 1,0,0,42,0,331,minimal,0.0,50-2000
2000-12-13,York,16,1,2,100,Drug Possesion,0.0,44-53-0375(A),Judge 1,0,0,48,1,332,none,0.0,50-2000
2000-12-13,York,16,1,7,217,Homicide,360.0,16-03-0050,Judge 1,0,1,33,1,333,moderate,306.0,50-2000
2000-12-13,York,16,1,3,768,Assault,0.0,"C/L, 16-03-0620, 17-25-0030",Judge 1,0,0,21,1,334,none,0.0,50-2000
2000-12-14,York,16,1,1,48,Other,0.0,16-17-0490,Judge 1,0,0,22,1,335,none,0.0,50-2000
2000-12-14,York,16,3,2,112,Drug Distribution,120.0,44-53-0375(B)(1),Judge 1,0,1,27,1,336,moderate,30.0,50-2000
2000-12-14,York,16,6,2,112,Drug Distribution,72.0,44-53-0375(B)(1),Judge 1,0,1,23,1,337,minimal,18.0,50-2000
2000-12-14,York,16,6,4,137,Robbery,93.0,16-11-0325,Judge 1,0,1,20,1,338,moderate,23.25,50-2000
2000-12-14,York,16,5,2,183,Drug Distribution,60.0,44-53-0370(b)(1),Judge 1,0,1,25,0,339,minimal,15.0,50-2000
2000-12-14,York,16,1,2,186,Drug Distribution,0.0,44-53-0370(b)(2),Judge 1,0,0,18,0,340,none,0.0,50-2000
2000-12-14,York,16,1,2,186,Drug Distribution,0.0,44-53-0370(b)(2),Judge 1,0,0,50,0,341,none,0.0,50-2000
2000-12-14,York,16,1,1,202,Other,0.0,16-23-0465,Judge 1,0,0,29,0,342,moderate,0.0,50-2000
2000-12-14,York,16,1,1,202,Other,0.0,16-23-0465,Judge 1,0,0,51,0,343,minimal,0.0,50-2000
2000-12-14,York,16,1,1,296,Drug Possesion,0.0,44-53-0040(B),Judge 1,0,0,39,0,344,minimal,0.0,50-2000
2000-12-14,York,16,1,1,685,Other,0.0,"16-25-0020, 0040",Judge 1,0,0,44,1,345,moderate,0.0,50-2000
2000-12-15,York,16,1,3,13,Assault,0.0,"C/L, 17-25-0030",Judge 1,0,0,43,1,346,minimal,0.0,50-2000
2000-12-15,York,16,2,3,107,Drug Distribution,0.0,44-53-0445(B)(1),Judge 1,0,0,43,0,347,minimal,0.0,50-2000
2000-12-15,York,16,1,2,258,Burglary,0.0,"16-13-0160(1)(2), (B)",Judge 1,0,0,26,0,348,minimal,0.0,50-2000
2000-12-15,York,16,3,3,315,Other,60.0,"16-23-0230, 0260",Judge 1,0,1,26,1,349,moderate,15.0,50-2000
2000-12-15,York,16,1,2,427,Burglary,0.0,16-11-0313,Judge 1,0,0,40,0,350,none,0.0,50-2000
2001-01-06,Chester,6,1,2,510,Other,48.0,16-11-0520(B)(2),Judge 1,0,1,35,0,351,voluminous,12.0,1-2001
2001-01-08,Chester,6,2,4,86,Burglary,96.0,16-11-0312(B),Judge 1,0,1,25,1,352,voluminous,31.68,2-2001
2001-01-08,Chester,6,1,2,100,Drug Possesion,0.0,44-53-0375(A),Judge 1,0,0,32,0,353,none,0.0,2-2001
2001-01-09,York,16,5,6,2551,Other,84.0,16-11-0110(B),Judge 1,0,1,19,1,354,minimal,71.39999999999999,2-2001
2001-01-12,Chester,6,1,3,13,Assault,0.0,"C/L, 17-25-0030",Judge 1,0,0,31,0,355,none,0.0,2-2001
2001-01-12,Chester,6,3,3,13,Assault,36.0,"C/L, 17-25-0030",Judge 1,0,1,23,1,356,moderate,9.0,2-2001
2001-01-16,Chester,6,1,2,100,Drug Possesion,0.0,44-53-0375(A),Judge 1,0,0,41,0,357,minimal,0.0,3-2001
2001-01-17,Chester,6,2,4,80,Burglary,24.0,16-11-0312(A),Judge 1,0,1,19,1,358,minimal,6.0,3-2001
2001-01-29,Fairfield,6,1,2,57,Other,0.0,56-01-1100,Judge 1,0,0,44,1,359,moderate,0.0,5-2001
2001-02-02,Fairfield,6,3,2,112,Drug Distribution,60.0,44-53-0375(B)(1),Judge 1,1,1,26,1,360,extensive,15.0,5-2001
2001-02-05,Fairfield,6,1,1,65,Other,0.0,56-05-0750(B)(1),Judge 1,0,0,27,1,361,moderate,0.0,6-2001
2001-02-06,Fairfield,6,1,2,2364,Other,0.0,"16-23-0030, 0050(A)(1)",Judge 1,0,0,18,1,362,none,0.0,6-2001
